date,daily_pnl,daily_volume,n_trades,fg_value
2024-01-30,-173.65419100000005,401011.38,49,61.0
2024-01-31,-799.840817,6305647.13,859,60.0
2024-02-01,0.0,2008.18,6,63.0
2024-02-02,456.423473,474278.43,42,63.0
2024-02-03,223.309187,603820.0,56,60.0
2024-02-04,47.62389499999999,203187.53,35,60.0
2024-02-05,-33.45419400000003,770198.26,72,60.0
2024-02-06,-215.615907,8047153.41,1088,64.0
2024-02-07,241.24212,6758.73,15,62.0
2024-02-08,770.756024,26051.12,10,66.0
2024-02-11,983.443176,212311.82,34,71.0
2024-02-12,913.8817869999998,227247.7,16,70.0
2024-02-13,559.44389,1999.99,14,79.0
2024-02-14,3830.599833,320839.88,111,74.0
2024-02-15,1840.797677,185188.04,63,72.0
2024-02-16,5491.768834,564896.51,182,72.0
2024-02-17,1929.6418,406118.07,94,76.0
2024-02-18,477.6248299999999,157048.17,97,72.0
2024-02-19,4317.768563,286377.2,101,75.0
2024-02-20,3263.628824,119419.72,39,72.0
2024-02-21,1858.79857,108047.52,22,78.0
2024-02-22,3894.10507,373033.87,88,74.0
2024-02-23,1418.55293,111106.14,143,76.0
2024-02-25,-30.7705,4480.13,5,74.0
2024-02-26,4416.8473,192187.14,39,72.0
2024-02-27,888.511733,209362.3,63,79.0
2024-02-28,2503.747235,171107.13,45,82.0
2024-02-29,9813.996992,395666.73,116,80.0
2024-03-01,8244.241409,472974.7,137,80.0
2024-03-02,230.90060000000005,63197.56,31,80.0
2024-03-03,8361.086245,390745.68,79,83.0
2024-03-04,27799.775742,1577996.87,300,82.0
2024-03-05,19791.026041,841810.32,180,90.0
2024-03-06,6814.825139,327218.02,82,75.0
2024-03-08,4271.886236,183583.18,67,81.0
2024-03-09,9949.501624,658178.75,117,84.0
2024-03-10,2482.9272,219973.85,42,79.0
2024-03-11,3588.179495,176519.44999999998,42,82.0
2024-03-12,3039.166,103040.85,8,81.0
2024-03-13,0.0,6000.799999999999,7,81.0
2024-03-14,3465.865832,205933.18,18,88.0
2024-03-15,6236.513651,351894.41,62,83.0
2024-03-16,228.57984,37223.66,8,81.0
2024-03-17,503.293955,99506.95,23,79.0
2024-03-18,1456.9577,90458.08,19,77.0
2024-03-19,668.797973,219884.84,24,79.0
2024-03-20,6423.134599,215705.85,69,74.0
2024-03-21,2335.508075,117895.57,28,78.0
2024-03-24,1297.018477,92592.21,19,74.0
2024-03-25,1302.916428,57116.32,7,75.0
2024-03-26,3215.906593,198565.19,118,81.0
2024-03-27,150.41114,99864.79,38,83.0
2024-03-28,227.851008,35323.72,13,80.0
2024-03-29,883.097404,86914.37,15,79.0
2024-03-30,1100.57514,101103.92,45,75.0
2024-03-31,912.786145,39912.96,13,75.0
2024-04-01,2507.963406,339470.47,77,79.0
2024-04-02,883.760812,239664.51,41,79.0
2024-04-03,126.7884,16887.57,4,71.0
2024-04-04,0.0,95987.73,32,70.0
2024-04-05,10706.484306,503791.8,100,79.0
2024-04-06,236.335134,68223.67,16,75.0
2024-04-07,0.0,49988.14,23,78.0
2024-04-08,1218.4267,211940.64,30,76.0
2024-04-09,0.0,57063.84,3,80.0
2024-04-10,5207.443414,351735.97,41,78.0
2024-04-11,389.743164,76400.96,16,76.0
2024-04-12,-592.6458390000001,442088.59,129,79.0
2024-04-13,6621.451755,486411.25,89,72.0
2024-04-14,-36104.01252,659162.17,107,72.0
2024-04-15,3774.08872,291111.19,41,74.0
2024-04-16,2467.702221,181907.17,47,65.0
2024-04-17,2441.4684,97562.99,14,67.0
2024-04-19,1946.445462,337257.92000000004,35,66.0
2024-04-20,0.0,60733.24,22,66.0
2024-04-22,0.0,47993.61,9,73.0
2024-04-23,1119.536196,233054.9,66,71.0
2024-04-24,279.185907,141275.24,20,72.0
2024-04-25,0.0,120241.01,74,72.0
2024-04-26,0.0,4988.290000000001,3,70.0
2024-04-27,4281.488139,154264.47,27,67.0
2024-04-28,0.0,43985.6,58,65.0
2024-04-29,526.9338359999999,108699.01,45,67.0
2024-04-30,0.0,125018.75,24,67.0
2024-05-01,0.0,87025.45,14,54.0
2024-05-03,5306.017045,282682.65,36,48.0
2024-05-04,0.0,58998.75,9,67.0
2024-05-05,0.916,24068.35,6,69.0
2024-05-06,968.59038,206016.43,9,71.0
2024-05-07,883.537693,108717.58,18,68.0
2024-05-08,1.56576,65973.57,13,64.0
2024-05-09,1147.595856,221966.12,28,55.0
2024-05-10,2101.741695,156882.0,22,66.0
2024-05-11,251.604742,63248.95,9,53.0
2024-05-12,0.0,55179.56,23,56.0
2024-05-13,2136.853859,193118.9,28,57.0
2024-05-14,1150.5233050000002,145853.4,23,66.0
2024-05-15,948.970582,234922.57,36,64.0
2024-05-16,214.5898,162620.96,27,70.0
2024-05-18,3522.3946610000003,126303.14,25,73.0
2024-05-19,0.0,29998.09,8,72.0
2024-05-20,-74.818442,38124.75,10,70.0
2024-05-21,7289.397571999999,1100948.59,125,76.0
2024-05-22,0.0,44995.29,6,76.0
2024-05-23,413.347329,401850.6,325,76.0
2024-05-24,821.949278,50811.9,2,74.0
2024-05-25,14.126039,29991.13,16,76.0
2024-05-26,778.6839,53976.67,16,75.0
2024-05-27,1129.35587,151115.72,251,74.0
2024-05-29,277.791953,84268.76,164,72.0
2024-05-30,20.951433,2838.09,7,73.0
2024-05-31,25.35812,3636.14,13,73.0
2024-06-01,91.510419,12834.62,25,72.0
2024-06-02,192.906947,29464.51,93,73.0
2024-06-03,562.808208,21466.86,70,73.0
2024-06-04,52.211438,24243.41,53,73.0
2024-06-05,56.055506,25350.77,54,75.0
2024-06-06,274.173187,137557.76,234,78.0
2024-06-07,8902.467416,1098588.76,440,77.0
2024-06-08,129.13883900000002,97351.88,29,72.0
2024-06-09,0.0,22410.22,17,75.0
2024-06-10,31.266805,46587.93,53,72.0
2024-06-11,4320.631811,373279.92,123,74.0
2024-06-12,-21886.531493,193407.96,254,72.0
2024-06-13,6632.757115,132577.22,79,70.0
2024-06-14,10258.592609,139868.66,31,74.0
2024-06-15,3369.958346,718350.25,78,74.0
2024-06-16,0.0,25235.08,11,71.0
2024-06-17,10599.502375,368380.12,38,71.0
2024-06-18,282.57636,263314.79,25,74.0
2024-06-19,4887.656944,417071.12,61,64.0
2024-06-20,57478.456026,207990.8,39,60.0
2024-06-21,773.5582039999999,176264.49,80,63.0
2024-06-22,756.876565,169594.27000000002,24,53.0
2024-06-23,0.0,1792.12,5,55.0
2024-06-24,0.0,403002.8,31,51.0
2024-06-25,4869.353105,103099.08,49,30.0
2024-06-26,4197.732182,365190.66,72,46.0
2024-06-27,0.0,130486.95,30,40.0
2024-06-29,6150.326145,280095.11,75,30.0
2024-06-30,0.0,30520.69,14,47.0
2024-07-01,5065.839308,362670.15,64,53.0
2024-07-02,2421.253116,33347.47,18,51.0
2024-07-03,1118.387284,179600.66,18,50.0
2024-07-04,0.0,430568.01,25,44.0
2024-07-05,0.0,272289.89,32,29.0
2024-07-06,108.872178,2490.17,24,26.0
2024-07-07,61.428942,498.75,10,29.0
2024-07-08,0.0,497.64,1,28.0
2024-07-09,648.984412,2736.45,15,27.0
2024-07-10,11977.734907,687900.21,56,28.0
2024-07-11,1876.812082,169887.02,19,29.0
2024-07-12,1412.314654,89582.97,19,25.0
2024-07-13,2913.617837,139189.19,17,25.0
2024-07-14,0.0,84001.13,7,33.0
2024-07-15,-1.0,198344.85,26,52.0
2024-07-16,0.0,144000.57,22,65.0
2024-07-17,1859.269477,626005.53,351,69.0
2024-07-18,3803.884311,649704.85,60,61.0
2024-07-19,2155.891114,150269.42,23,60.0
2024-07-20,2299.169566,244362.21,266,74.0
2024-07-21,-2960.716887,234307.46,448,74.0
2024-07-22,1517.119876,304213.8,154,70.0
2024-07-23,89890.302206,358526.54,370,71.0
2024-07-24,625.561479,69207.93,90,69.0
2024-07-25,916.73826,528555.31,78,68.0
2024-07-26,2766.513113,548587.65,152,68.0
2024-07-27,6400.623656,905199.75,57,72.0
2024-07-28,587.29903,43254.68,16,71.0
2024-07-29,330.804454,327199.14,39,74.0
2024-07-30,0.0,36006.47,6,67.0
2024-07-31,765.690884,84506.54,43,61.0
2024-08-01,167.080017,227774.53,57,52.0
2024-08-02,782.3681909999999,396320.37,63,57.0
2024-08-03,464.1897,290532.86,37,37.0
2024-08-04,-122672.000883,1207744.07,127,34.0
2024-08-05,-13013.665169,420495.4,80,26.0
2024-08-06,267.318048,61478.38,107,17.0
2024-08-07,188.789255,2492.77,33,29.0
2024-08-08,-40.712217,16299.35,9,20.0
2024-08-09,18082.071276,503204.86,144,48.0
2024-08-10,0.0,11339.29,88,40.0
2024-08-11,847.7766200000001,44230.21,24,39.0
2024-08-12,858.6705000000001,54167.32,48,25.0
2024-08-13,212.08102,20797.87,23,31.0
2024-08-14,2168.9015130000003,66710.03,25,30.0
2024-08-15,0.0,1522.37,12,29.0
2024-08-16,825.230544,166382.84,35,27.0
2024-08-17,-288.283113,30248.96,30,25.0
2024-08-18,307.201888,62804.48,15,31.0
2024-08-19,339.699583,100315.03,8,28.0
2024-08-20,192.602844,49914.8,12,30.0
2024-08-21,656.200925,104990.41,145,26.0
2024-08-23,1005.30527,63509.56,10,34.0
2024-08-24,0.0,34999.67,7,56.0
2024-08-25,0.0,21950.28,17,54.0
2024-08-26,231.236918,92611.27,6,55.0
2024-08-27,0.0,70250.16,50,48.0
2024-08-28,1333.359645,71160.06999999999,9,30.0
2024-08-29,0.0,9995.85,1,29.0
2024-08-30,256.464,37233.24,6,34.0
2024-08-31,10.882801,107507.43,34,29.0
2024-09-01,137.433093,12359.68,12,26.0
2024-09-02,0.0,30000.42,2,26.0
2024-09-04,1065.785132,131480.97,34,27.0
2024-09-05,0.0,0.84,1,29.0
2024-09-06,-1104.856765,39047.1,42,22.0
2024-09-08,0.0,0.11,1,29.0
2024-09-09,0.0,4014.43,2,26.0
2024-09-10,-219.729659,2547.28,3,33.0
2024-09-11,0.0,0.54,1,37.0
2024-09-14,0.0,1014.8,11,50.0
2024-09-18,-878.684794,13633.5,145,45.0
2024-09-19,0.0,1521.87,19,49.0
2024-09-20,9585.03428,332873.38,16,54.0
2024-09-21,36165.56933,165648.12,23,54.0
2024-09-22,0.0,19999.74,3,52.0
2024-09-23,334.760796,40334.29,2,50.0
2024-09-24,0.0,7118.63,10,54.0
2024-09-25,0.0,52754.130000000005,9,59.0
2024-09-26,439.812513,113711.93,8,50.0
2024-09-27,0.0,126097.04,56,61.0
2024-09-28,0.0,29199.21,4,64.0
2024-09-30,2710.626288,214669.85,106,61.0
2024-10-01,0.0,139954.32,4,50.0
2024-10-02,0.0,99954.34,4,42.0
2024-10-03,100.375782,132935.69,9,37.0
2024-10-04,0.0,0.34,1,41.0
2024-10-05,5767.161892,605605.74,37,49.0
2024-10-06,130.487079,300130.56,22,50.0
2024-10-07,0.0,219984.65,21,50.0
2024-10-08,5396.546638,434584.13,36,49.0
2024-10-09,396.06272,220399.93,14,49.0
2024-10-10,0.0,300024.34,16,39.0
2024-10-11,8885.327477,488904.19,26,32.0
2024-10-12,541.55471,159713.4,10,49.0
2024-10-13,0.0,60002.42,10,50.0
2024-10-14,1913.61958,61916.02,5,48.0
2024-10-15,1170.226076,81173.36,7,65.0
2024-10-16,219.480876,80229.17,11,73.0
2024-10-17,36.11496,140531.75,9,71.0
2024-10-18,333.219141,120331.43,6,73.0
2024-10-19,0.0,99996.86,4,72.0
2024-10-20,389.155797,176447.86000000002,96,73.0
2024-10-21,2464.915564,324117.99,173,72.0
2024-10-22,0.0,60000.36,3,70.0
2024-10-23,-46.489941,210006.07,18,71.0
2024-10-25,13235.862071,427883.18,30,72.0
2024-10-27,666.6623079999999,90664.41,4,74.0
2024-10-28,167.28016200000002,121495.25,13,72.0
2024-10-29,801.170876,613267.8099999999,53,72.0
2024-10-30,9.150023,11830.85,25,77.0
2024-10-31,1214.043811,896173.36,48,77.0
2024-11-01,1040.475736,260981.03,23,75.0
2024-11-02,0.0,40000.0,2,72.0
2024-11-03,0.0,129055.66,6,74.0
2024-11-04,2799.410474,451811.97,36,70.0
2024-11-05,678.4759280000001,200627.23,10,70.0
2024-11-06,2817.83723,123906.9,15,70.0
2024-11-07,4493.353136,111335.3,113,77.0
2024-11-08,-64.41354100000007,270700.44,39,75.0
2024-11-09,102.90894,193384.41,86,75.0
2024-11-10,991.114334,413636.7,173,78.0
2024-11-11,6749.630996,1570572.42,373,76.0
2024-11-12,3494.399394,1226354.52,171,80.0
2024-11-13,7846.402274,515336.37,48,84.0
2024-11-14,4563.509225,1008361.81,110,88.0
2024-11-15,4140.740438,1427858.42,149,80.0
2024-11-16,2769.521909,303296.07,157,86.0
2024-11-17,882.975285,1215987.57,209,90.0
2024-11-18,4470.815187,2084339.58,346,83.0
2024-11-19,2958.268991,628031.15,305,90.0
2024-11-20,4210.092897,1999514.12,550,83.0
2024-11-21,1692.430891,598300.62,535,82.0
2024-11-22,-18105.345617,1646713.62,679,94.0
2024-11-23,2901.531638,516245.68,363,93.0
2024-11-24,945.550386,664952.28,172,80.0
2024-11-25,5523.740734,937410.87,255,82.0
2024-11-26,1094.809359,1146902.44,302,79.0
2024-11-27,-2654.495633,1444242.53,213,75.0
2024-11-28,-127075.399585,1894225.15,332,77.0
2024-11-29,176844.994152,794262.91,393,78.0
2024-11-30,37316.69352,1732193.7,373,84.0
2024-12-01,40886.364494,814711.82,416,81.0
2024-12-02,18489.604313,585243.56,270,80.0
2024-12-03,23576.539285,1084666.53,374,76.0
2024-12-04,292891.815021,769287.65,319,78.0
2024-12-05,71574.11848800001,1256750.79,456,84.0
2024-12-06,-92624.643895,3471019.22,403,72.0
2024-12-07,85906.279067,451733.42,304,75.0
2024-12-08,15965.933436,932939.72,420,79.0
2024-12-09,6310.967676,983949.68,539,78.0
2024-12-10,39325.770231,3150424.08,1596,78.0
2024-12-11,319051.554217,2194098.33,1221,74.0
2024-12-12,599151.795008,4557189.87,1932,83.0
2024-12-13,31935.901745,2880824.64,1173,76.0
2024-12-14,167801.399244,2369561.78,1235,83.0
2024-12-15,97525.315279,2583269.81,1697,80.0
2024-12-16,166774.344133,2740808.97,1055,83.0
2024-12-17,219591.305172,5233597.63,1941,87.0
2024-12-18,13682.994673,3798887.07,1429,81.0
2024-12-19,62744.004486000005,8241709.39,3339,75.0
2024-12-20,254969.660039,7681274.71,2488,74.0
2024-12-21,150022.163157,4382875.12,1681,73.0
2024-12-22,352197.163973,3087320.22,774,73.0
2024-12-23,-29430.626577,6771878.26,2347,70.0
2024-12-24,14813.780116,1767036.11,338,73.0
2024-12-25,756.6570469999998,347889.35,208,73.0
2024-12-26,60228.639722,2205242.65,697,79.0
2024-12-27,2672.811035,347913.0,260,74.0
2024-12-28,940.673623,281555.01,161,72.0
2024-12-29,2884.067927,344628.54,201,73.0
2024-12-30,9009.738137,1073865.73,304,65.0
2024-12-31,5445.01281,877164.62,306,64.0
2025-01-01,-9528.065345,282582.1,96,66.0
2025-01-02,8716.519087,774674.84,361,70.0
2025-01-03,6028.486793,771208.99,508,74.0
2025-01-04,2553.537968,1826029.62,371,73.0
2025-01-05,3187.719363,451943.57,239,72.0
2025-01-06,6064.185393,556526.99,573,76.0
2025-01-07,16098.227531,1313178.1,637,78.0
2025-01-08,130117.090554,3177275.18,1039,70.0
2025-01-09,46975.928902,1020733.25,522,69.0
2025-01-10,-10116.875552,6547449.68,819,50.0
2025-01-11,2269.080536,1658098.71,283,69.0
2025-01-12,5742.241803,2258459.17,602,62.0
2025-01-13,9655.429352,2936648.01,408,61.0
2025-01-14,16069.512355,876581.97,275,63.0
2025-01-15,14819.5883,1801599.89,267,70.0
2025-01-16,20807.709328,3049692.96,371,75.0
2025-01-17,7006.415608,1110230.46,238,75.0
2025-01-18,443.2330819999997,2711629.88,651,77.0
2025-01-19,87923.799302,9715215.3,1567,77.0
2025-01-20,87277.239173,8287327.01,1315,76.0
2025-01-21,11077.839421,1523729.82,530,76.0
2025-01-22,20524.408057,1778406.43,832,84.0
2025-01-23,101256.24216,3697028.66,1218,75.0
2025-01-24,10602.779738,1611433.45,874,75.0
2025-01-25,-10348.016256,1239377.7,506,75.0
2025-01-26,40823.466668,1201173.66,451,73.0
2025-01-27,41331.765392,1508028.31,773,71.0
2025-01-28,17979.613973,579412.17,498,72.0
2025-01-29,23421.01147,1897513.41,910,72.0
2025-01-30,23097.471385,3014397.17,1067,70.0
2025-01-31,35868.296773,2783411.48,1016,76.0
2025-02-01,32300.205017,1363746.44,634,68.0
2025-02-02,162854.759623,5661092.29,1319,60.0
2025-02-03,348871.326269,22592901.37,2380,44.0
2025-02-04,416876.88812,15678409.27,2512,72.0
2025-02-05,56706.235562,8743231.51,1297,54.0
2025-02-06,33803.799733,2818508.87,1703,49.0
2025-02-07,22450.002091,3460263.54,1524,44.0
2025-02-08,586.703253,839734.97,575,44.0
2025-02-09,150551.829492,2920919.7,764,46.0
2025-02-10,63908.49465,3624958.44,889,43.0
2025-02-11,-6093.784817,2797544.17,848,47.0
2025-02-12,19848.635032,4143974.54,1031,46.0
2025-02-13,27829.534238,3199852.21,1370,50.0
2025-02-14,213860.675308,4007103.42,1655,48.0
2025-02-15,45042.92701,1712852.95,932,50.0
2025-02-16,2369.478425,806177.64,681,54.0
2025-02-17,1818.573295,2031044.64,941,51.0
2025-02-18,91204.672403,3371128.68,1676,47.0
2025-02-19,14985.794701,3263930.24,1361,44.0
2025-02-20,46008.794102,4628609.29,2012,49.0
2025-02-21,119693.49395,3972159.88,1873,55.0
2025-02-22,25278.704178,3175570.2,686,49.0
2025-02-23,10656.934251,1141310.74,520,50.0
2025-02-24,38470.176242,11223619.59,5616,49.0
2025-02-25,204762.177034,19414984.36,6246,25.0
2025-02-26,63229.063129,4946958.13,1176,21.0
2025-02-27,-36525.167517,1999898.43,890,10.0
2025-02-28,225628.108748,4123660.77,1019,16.0
2025-03-01,10596.108968,263824.13,174,20.0
2025-03-02,66914.320708,6460848.74,532,26.0
2025-03-03,616413.032233,8244590.38,1482,33.0
2025-03-04,182075.566585,11124247.15,2402,15.0
2025-03-05,269328.365917,9193654.22,1660,20.0
2025-03-06,16101.125561,6765324.96,760,25.0
2025-03-07,150236.061627,19854275.48,2552,34.0
2025-03-08,24700.773359,892083.51,529,28.0
2025-03-09,19773.457395,10419697.99,1422,27.0
2025-03-10,-10010.02727,16811790.68,2911,20.0
2025-03-11,-76880.729036,14016952.09,3286,24.0
2025-03-12,288105.984215,18618139.15,3968,34.0
2025-03-13,14114.870873,3285591.22,962,45.0
2025-03-14,68646.160089,8047187.16,2210,27.0
2025-03-15,78694.624572,2355749.54,261,46.0
2025-03-16,-7910.943544999999,10187921.51,530,30.0
2025-03-17,26163.906513,3592895.05,920,32.0
2025-03-18,72322.788824,4050655.47,834,34.0
2025-03-19,29374.682341,4598813.57,1612,32.0
2025-03-20,10246.859436,1652257.93,771,49.0
2025-03-21,6951.270374,2543903.39,698,31.0
2025-03-22,12498.535254,971809.42,535,32.0
2025-03-23,14047.421585,2593519.67,447,30.0
2025-03-24,107878.961301,3017587.05,1027,45.0
2025-03-25,32030.90678,5372519.77,791,46.0
2025-03-26,15802.167427,7597754.37,3102,47.0
2025-03-27,58825.359221,3240279.46,785,40.0
2025-03-28,21337.179335,1483092.61,728,44.0
2025-03-29,12098.872931,3668151.83,1894,26.0
2025-03-30,15795.11514,2850874.96,568,32.0
2025-03-31,6978.184557,2164772.47,495,34.0
2025-04-01,-2202.6622420000003,704445.1900000001,192,34.0
2025-04-02,202212.740938,3867930.6,1076,44.0
2025-04-03,-2365.961276,8670233.15,1748,25.0
2025-04-04,-25515.67895,3835545.73,1272,28.0
2025-04-05,35907.33771,1267564.22,360,30.0
2025-04-06,47053.449272,3551252.06,1048,34.0
2025-04-07,34527.370305,14460253.14,2814,23.0
2025-04-08,34899.394798,8869391.4,943,24.0
2025-04-09,43120.444797,28556806.47,3967,18.0
2025-04-10,158261.822261,28741953.29,2127,39.0
2025-04-11,126406.479081,11319327.07,1096,25.0
2025-04-12,410419.694533,55914617.49,2109,43.0
2025-04-13,48696.021521,14171154.79,1321,45.0
2025-04-14,45680.443063,13079972.98,890,31.0
2025-04-15,72357.706282,20752168.24,1131,38.0
2025-04-16,58631.730257,36502715.9,1608,29.0
2025-04-17,5427.919886,2604551.51,1031,30.0
2025-04-18,4880.404744,24610650.46,1894,33.0
2025-04-19,71950.577495,32706462.71,2786,32.0
2025-04-20,25060.341936,12126094.05,1982,37.0
2025-04-21,34369.267906999994,42104054.84,1718,39.0
2025-04-22,58652.763578,33753625.24,2998,47.0
2025-04-23,-419020.225731,30682443.79,6159,72.0
2025-04-24,50704.395965,35088918.64,2232,63.0
2025-04-25,20218.859206,27749455.78,1653,60.0
2025-04-26,-4125.753942,11948127.77,1131,65.0
2025-04-27,2702.067468,487537.69,337,61.0
2025-04-28,36906.813759,26124921.49,1379,54.0
2025-04-29,125749.613427,34089511.66,2243,60.0
2025-04-30,14003.797269,12693878.85,1113,56.0
2025-05-01,54536.829297,10720240.52,1230,53.0
